LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:6:12:10,S,6,12,10,s,18,0
S:6:12:11,S,6,12,11,s,18,0
S:6:12:12,S,6,12,12,s,18,0
S:6:12:13,S,6,12,13,s,18,0
S:6:12:14,S,6,12,14,s,18,0
S:6:12:15,S,6,12,15,s,18,0
S:7:12:1,S,7,12,1,K,18,0
S:7:12:2,S,7,12,2,K,18,0
S:3:11:13,S,3,11,13,s,18,0
S:3:11:14,S,3,11,14,s,18,0
S:3:11:15,S,3,11,15,s,18,0
S:4:11:1,S,4,11,1,s,18,0
S:4:11:2,S,4,11,2,s,18,0
S:4:11:3,S,4,11,3,s,18,0
S:4:11:4,S,4,11,4,s,18,0
S:4:11:5,S,4,11,5,s,18,0
S:4:11:6,S,4,11,6,s,18,0
S:4:11:7,S,4,11,7,s,18,0
S:4:11:8,S,4,11,8,s,18,0
S:4:11:9,S,4,11,9,s,18,0
S:9:10:15,S,9,10,15,K,18,0
S:9:10:14,S,9,10,14,K,18,0
S:9:10:13,S,9,10,13,K,18,0
S:9:10:12,S,9,10,12,K,18,0
S:9:10:11,S,9,10,11,K,18,0
S:9:10:10,S,9,10,10,K,18,0
S:9:10:9,S,9,10,9,K,18,0
S:9:10:8,S,9,10,8,K,18,0
S:9:10:7,S,9,10,7,K,18,0
S:9:10:6,S,9,10,6,K,18,0
S:9:10:5,S,9,10,5,K,18,0
S:9:10:4,S,9,10,4,K,18,0
S:9:10:3,S,9,10,3,K,18,0
S:9:10:2,S,9,10,2,K,18,0
S:9:10:1,S,9,10,1,K,18,0
S:7:10:15,S,7,10,15,K,18,0
S:7:10:14,S,7,10,14,K,18,0
S:7:10:13,S,7,10,13,K,18,0
S:7:10:12,S,7,10,12,K,18,0
S:7:10:11,S,7,10,11,K,18,0
S:7:10:10,S,7,10,10,K,18,0
S:7:10:9,S,7,10,9,K,18,0
S:7:10:8,S,7,10,8,K,18,0
S:7:10:7,S,7,10,7,K,18,0
S:7:10:6,S,7,10,6,K,18,0
S:7:10:5,S,7,10,5,K,18,0
S:7:10:4,S,7,10,4,K,18,0
S:7:10:3,S,7,10,3,K,18,0
S:7:10:2,S,7,10,2,K,18,0
S:7:10:1,S,7,10,1,K,18,0
S:6:10:15,S,6,10,15,s,18,0
S:5:10:15,S,5,10,15,s,18,0
S:5:10:14,S,5,10,14,s,18,0
S:5:10:13,S,5,10,13,s,18,0
